"","1","1","1"
"175",28,"sandslash","sand-rush"
"176",28,"sandslash","sand-veil"
"177",26,"raichu","lightning-rod"
"178",26,"raichu","static"
"179",25,"pikachu","lightning-rod"
"180",25,"pikachu","static"
"181",24,"arbok","unnerve"
"182",24,"arbok","shed-skin"
"183",24,"arbok","intimidate"
"184",22,"fearow","sniper"
"185",22,"fearow","keen-eye"
"186",20,"raticate","hustle"
"187",20,"raticate","guts"
"188",20,"raticate","run-away"
"189",18,"pidgeot","big-pecks"
"190",18,"pidgeot","tangled-feet"
"191",18,"pidgeot","keen-eye"
"192",17,"pidgeotto","big-pecks"
"193",17,"pidgeotto","tangled-feet"
"194",17,"pidgeotto","keen-eye"
"195",15,"beedrill","sniper"
"196",15,"beedrill","swarm"
"197",14,"kakuna","shed-skin"
"198",12,"butterfree","tinted-lens"
"199",12,"butterfree","compound-eyes"
"200",11,"metapod","shed-skin"
"201",9,"blastoise","rain-dish"
"202",9,"blastoise","torrent"
"203",8,"wartortle","rain-dish"
"204",8,"wartortle","torrent"
"205",6,"charizard","solar-power"
"206",6,"charizard","blaze"
"207",5,"charmeleon","solar-power"
"208",5,"charmeleon","blaze"
"209",3,"venusaur","chlorophyll"
"210",3,"venusaur","overgrow"
"211",2,"ivysaur","chlorophyll"
"212",2,"ivysaur","overgrow"
"213",151,"mew","synchronize"
"214",150,"mewtwo","unnerve"
"215",150,"mewtwo","pressure"
"216",147,"dratini","marvel-scale"
"217",147,"dratini","shed-skin"
"218",146,"moltres","flame-body"
"219",146,"moltres","pressure"
"220",145,"zapdos","static"
"221",145,"zapdos","pressure"
"222",144,"articuno","snow-cloak"
"223",144,"articuno","pressure"
"224",142,"aerodactyl","unnerve"
"225",142,"aerodactyl","pressure"
"226",142,"aerodactyl","rock-head"
"227",140,"kabuto","weak-armor"
"228",140,"kabuto","battle-armor"
"229",140,"kabuto","swift-swim"
"230",138,"omanyte","weak-armor"
"231",138,"omanyte","shell-armor"
"232",138,"omanyte","swift-swim"
"233",137,"porygon","analytic"
"234",137,"porygon","download"
"235",137,"porygon","trace"
"236",133,"eevee","anticipation"
"237",133,"eevee","adaptability"
"238",133,"eevee","run-away"
"239",132,"ditto","imposter"
"240",132,"ditto","limber"
"241",131,"lapras","hydration"
"242",131,"lapras","shell-armor"
"243",131,"lapras","water-absorb"
"244",129,"magikarp","rattled"
"245",129,"magikarp","swift-swim"
"246",128,"tauros","sheer-force"
"247",128,"tauros","anger-point"
"248",128,"tauros","intimidate"
"249",127,"pinsir","moxie"
"250",127,"pinsir","mold-breaker"
"251",127,"pinsir","hyper-cutter"
"252",123,"scyther","steadfast"
"253",123,"scyther","technician"
"254",123,"scyther","swarm"
"255",120,"staryu","analytic"
"256",120,"staryu","natural-cure"
"257",120,"staryu","illuminate"
"258",118,"goldeen","lightning-rod"
"259",118,"goldeen","water-veil"
"260",118,"goldeen","swift-swim"
"261",116,"horsea","damp"
"262",116,"horsea","sniper"
"263",116,"horsea","swift-swim"
"264",115,"kangaskhan","inner-focus"
"265",115,"kangaskhan","scrappy"
"266",115,"kangaskhan","early-bird"
"267",114,"tangela","regenerator"
"268",114,"tangela","leaf-guard"
"269",114,"tangela","chlorophyll"
"270",111,"rhyhorn","reckless"
"271",111,"rhyhorn","rock-head"
"272",111,"rhyhorn","lightning-rod"
"273",109,"koffing","levitate"
"274",108,"lickitung","cloud-nine"
"275",108,"lickitung","oblivious"
"276",108,"lickitung","own-tempo"
"277",104,"cubone","battle-armor"
"278",104,"cubone","lightning-rod"
"279",104,"cubone","rock-head"
"280",102,"exeggcute","harvest"
"281",102,"exeggcute","chlorophyll"
"282",100,"voltorb","aftermath"
"283",100,"voltorb","static"
"284",100,"voltorb","soundproof"
"285",98,"krabby","sheer-force"
"286",98,"krabby","shell-armor"
"287",98,"krabby","hyper-cutter"
"288",96,"drowzee","inner-focus"
"289",96,"drowzee","forewarn"
"290",96,"drowzee","insomnia"
"291",95,"onix","weak-armor"
"292",95,"onix","sturdy"
"293",95,"onix","rock-head"
"294",92,"gastly","levitate"
"295",90,"shellder","overcoat"
"296",90,"shellder","skill-link"
"297",90,"shellder","shell-armor"
"298",88,"grimer","poison-touch"
"299",88,"grimer","sticky-hold"
"300",88,"grimer","stench"
"301",86,"seel","ice-body"
"302",86,"seel","hydration"
"303",86,"seel","thick-fat"
"304",84,"doduo","tangled-feet"
"305",84,"doduo","early-bird"
"306",84,"doduo","run-away"
"307",83,"farfetchd","defiant"
"308",83,"farfetchd","inner-focus"
"309",83,"farfetchd","keen-eye"
"310",81,"magnemite","analytic"
"311",81,"magnemite","sturdy"
"312",81,"magnemite","magnet-pull"
"313",79,"slowpoke","regenerator"
"314",79,"slowpoke","own-tempo"
"315",79,"slowpoke","oblivious"
"316",77,"ponyta","flame-body"
"317",77,"ponyta","flash-fire"
"318",77,"ponyta","run-away"
"319",74,"geodude","sand-veil"
"320",74,"geodude","sturdy"
"321",74,"geodude","rock-head"
"322",72,"tentacool","rain-dish"
"323",72,"tentacool","liquid-ooze"
"324",72,"tentacool","clear-body"
"325",69,"bellsprout","gluttony"
"326",69,"bellsprout","chlorophyll"
"327",66,"machop","steadfast"
"328",66,"machop","no-guard"
"329",66,"machop","guts"
"330",63,"abra","magic-guard"
"331",63,"abra","inner-focus"
"332",63,"abra","synchronize"
"333",60,"poliwag","swift-swim"
"334",60,"poliwag","damp"
"335",60,"poliwag","water-absorb"
"336",58,"growlithe","justified"
"337",58,"growlithe","flash-fire"
"338",58,"growlithe","intimidate"
"339",56,"mankey","defiant"
"340",56,"mankey","anger-point"
"341",56,"mankey","vital-spirit"
"342",54,"psyduck","swift-swim"
"343",54,"psyduck","cloud-nine"
"344",54,"psyduck","damp"
"345",52,"meowth","unnerve"
"346",52,"meowth","technician"
"347",52,"meowth","pickup"
"348",50,"diglett","sand-force"
"349",50,"diglett","arena-trap"
"350",50,"diglett","sand-veil"
"351",48,"venonat","run-away"
"352",48,"venonat","tinted-lens"
"353",48,"venonat","compound-eyes"
"354",46,"paras","damp"
"355",46,"paras","dry-skin"
"356",46,"paras","effect-spore"
"357",43,"oddish","run-away"
"358",43,"oddish","chlorophyll"
"359",41,"zubat","infiltrator"
"360",41,"zubat","inner-focus"
"361",37,"vulpix","drought"
"362",37,"vulpix","flash-fire"
"363",32,"nidoran-m","hustle"
"364",32,"nidoran-m","rivalry"
"365",32,"nidoran-m","poison-point"
"366",29,"nidoran-f","hustle"
"367",29,"nidoran-f","rivalry"
"368",29,"nidoran-f","poison-point"
"369",27,"sandshrew","sand-rush"
"370",27,"sandshrew","sand-veil"
"371",23,"ekans","unnerve"
"372",23,"ekans","shed-skin"
"373",23,"ekans","intimidate"
"374",21,"spearow","sniper"
"375",21,"spearow","keen-eye"
"376",19,"rattata","hustle"
"377",19,"rattata","guts"
"378",19,"rattata","run-away"
"379",16,"pidgey","big-pecks"
"380",16,"pidgey","tangled-feet"
"381",16,"pidgey","keen-eye"
"382",13,"weedle","run-away"
"383",13,"weedle","shield-dust"
"384",10,"caterpie","run-away"
"385",10,"caterpie","shield-dust"
"386",7,"squirtle","rain-dish"
"387",7,"squirtle","torrent"
"388",4,"charmander","solar-power"
"389",4,"charmander","blaze"
"390",1,"bulbasaur","chlorophyll"
"391",1,"bulbasaur","overgrow"
